,quantity
2011-09-10,5548.0
2011-09-11,3573.0
2011-09-12,4502.0
2011-09-13,3268.0
2011-09-14,3487.0
2011-09-15,5898.0
2011-09-16,8344.0
2011-09-17,7716.0
2011-09-18,3712.0
2011-09-19,4510.0
2011-09-20,4694.0
2011-09-21,4394.0
2011-09-22,5779.0
2011-09-23,9746.0
2011-09-24,9470.0
2011-09-25,4139.0
2011-09-26,4882.0
2011-09-27,4196.0
2011-09-28,4611.0
2011-09-29,6057.0
2011-09-30,8580.0
2011-10-01,9212.0
2011-10-02,4317.0
2011-10-03,5281.0
2011-10-04,4908.0
2011-10-05,5218.0
2011-10-06,6396.0
2011-10-07,8743.0
2011-10-08,9534.0
2011-10-09,4505.0
2011-10-10,4466.0
2011-10-11,4434.0
2011-10-12,4681.0
2011-10-13,6057.0
2011-10-14,8852.0
2011-10-15,8459.0
2011-10-16,4240.0
2011-10-17,5015.0
2011-10-18,4217.0
2011-10-19,4676.0
2011-10-20,6445.0
2011-10-21,9640.0
2011-10-22,9489.0
2011-10-23,4246.0
2011-10-24,5115.0
2011-10-25,5939.0
2011-10-26,5914.0
2011-10-27,6431.0
2011-10-28,10562.0
2011-10-29,11641.0
2011-10-30,5979.0
2011-10-31,5860.0
2011-11-01,4965.0
2011-11-02,4278.0
2011-11-03,6366.0
2011-11-04,10186.0
2011-11-05,10804.0
2011-11-06,5605.0
2011-11-07,5523.0
2011-11-08,4895.0
2011-11-09,5182.0
2011-11-10,7932.0
2011-11-11,9566.0
2011-11-12,14251.0
2011-11-13,6412.0
2011-11-14,6545.0
2011-11-15,6957.0
2011-11-16,6184.0
2011-11-17,9388.0
2011-11-18,12021.0
2011-11-19,14028.0
2011-11-20,6696.0
2011-11-21,6812.0
2011-11-22,6181.0
2011-11-23,5702.0
2011-11-24,8764.0
2011-11-25,11146.0
2011-11-26,11829.0
2011-11-27,6723.0
2011-11-28,6384.0
2011-11-29,5508.0
2011-11-30,6058.0
2011-12-01,8174.0
2011-12-02,10302.0
2011-12-03,12014.0
2011-12-04,5481.0
2011-12-05,5269.0
2011-12-06,5008.0
2011-12-07,5790.0
2011-12-08,6691.0
2011-12-09,9409.0
2011-12-10,11132.0
